name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
שיבא,,93.9240493774414,129,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
יוספטל,,49.23077011108398,4,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
שמיר,,67.78900146484375,105,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
וולפסון,,71.7423095703125,64,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
זיו צפת,,78.67435455322266,82,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
הלל יפה,,91.45631408691406,39,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
נהריה,,80.9128646850586,90,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
ברזילי,,81.5,40,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
פוריה,,65.91548919677734,52,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
סוראסקי,,102.988899230957,112,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
בני ציון,,86.37413024902344,81,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
רבין ק. בילינסון,,83.95209503173828,238,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
סורוקה,,76.88966369628906,87,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
מאיר,,77.50642395019531,81,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
קפלן,,90.79422760009766,62,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
"רמב""ם",,95.05154418945312,195,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
הכרמל,,77.50511169433594,111,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
השרון ק. גולדה,,70.95435333251953,87,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
הדסה עין כרם,,112.0370407104492,233,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
הסקוטי,,112.0300750732422,9,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
סנט וינסנט,,47.01492691040039,21,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
המשפחה הקדושה,,,0,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
סנט ג'וזף,,,3,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
שערי צדק,,,254,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
אל מקאסד,,,0,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
לניאדו,,81.89414978027344,176,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
אוגוסטה ויקטוריה,,,9,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
מעייני הישועה,,97.15190124511719,45,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
אסותא אשדוד,,,32,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
שניידר,,,0,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
המרכזי בעמק,,77.06896209716797,137,2021-01-05T16:52:29.653Z,2021-01-05T16:52:29.653Z
