section,male,female,lastUpdate,date
0,16654,15953,2020-10-23T04:15:45.000Z,2020-10-23T04:15:45.000Z
10,38172,27096,2020-10-23T04:15:45.000Z,2020-10-23T04:15:45.000Z
20,32108,28920,2020-10-23T04:15:45.000Z,2020-10-23T04:15:45.000Z
30,21399,20964,2020-10-23T04:15:45.000Z,2020-10-23T04:15:45.000Z
40,18647,19584,2020-10-23T04:15:45.000Z,2020-10-23T04:15:45.000Z
50,14423,14843,2020-10-23T04:15:45.000Z,2020-10-23T04:15:45.000Z
60,10472,9246,2020-10-23T04:15:45.000Z,2020-10-23T04:15:45.000Z
70,5119,4655,2020-10-23T04:15:45.000Z,2020-10-23T04:15:45.000Z
80,2217,2770,2020-10-23T04:15:45.000Z,2020-10-23T04:15:45.000Z
90,520,1202,2020-10-23T04:15:45.000Z,2020-10-23T04:15:45.000Z
