section,male,female,lastUpdate,date
0,16110,15433,2020-10-15T03:58:03.073Z,2020-10-15T03:58:03.073Z
10,37250,26276,2020-10-15T03:58:03.073Z,2020-10-15T03:58:03.073Z
20,31142,28050,2020-10-15T03:58:03.073Z,2020-10-15T03:58:03.073Z
30,20775,20311,2020-10-15T03:58:03.073Z,2020-10-15T03:58:03.073Z
40,18131,19010,2020-10-15T03:58:03.073Z,2020-10-15T03:58:03.073Z
50,14033,14347,2020-10-15T03:58:03.073Z,2020-10-15T03:58:03.073Z
60,10160,8921,2020-10-15T03:58:03.073Z,2020-10-15T03:58:03.073Z
70,4952,4471,2020-10-15T03:58:03.073Z,2020-10-15T03:58:03.073Z
80,2118,2623,2020-10-15T03:58:03.073Z,2020-10-15T03:58:03.073Z
90,489,1142,2020-10-15T03:58:03.073Z,2020-10-15T03:58:03.073Z
