section,male,female,lastUpdate,date
0,2,3,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
10,3,1,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
20,18,13,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
30,26,18,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
40,58,47,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
50,219,102,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
60,586,266,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
70,989,538,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
80,1075,940,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
90,506,675,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
