section,male,female,lastUpdate,date
0,1,4,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
10,1,2,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
20,10,8,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
30,14,26,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
40,38,25,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
50,58,42,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
60,65,55,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
70,54,45,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
80,31,47,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
90,13,7,2021-03-21T05:22:42.567Z,2021-03-21T05:22:42.567Z
