total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2020,1797,367,252,757,417,2021-01-26T17:48:49.590Z
100,89,20,14,42,23,2021-01-26T17:48:49.590Z
