section,male,female,lastUpdate,date
0,47779,45051,2021-02-10T16:21:14.940Z,2021-02-10T16:21:14.940Z
10,79528,69711,2021-02-10T16:21:14.940Z,2021-02-10T16:21:14.940Z
20,66299,67232,2021-02-10T16:21:14.940Z,2021-02-10T16:21:14.940Z
30,47502,50088,2021-02-10T16:21:14.940Z,2021-02-10T16:21:14.940Z
40,40610,44718,2021-02-10T16:21:14.940Z,2021-02-10T16:21:14.940Z
50,30913,32892,2021-02-10T16:21:14.940Z,2021-02-10T16:21:14.940Z
60,21545,20581,2021-02-10T16:21:14.940Z,2021-02-10T16:21:14.940Z
70,10689,10489,2021-02-10T16:21:14.940Z,2021-02-10T16:21:14.940Z
80,4735,6399,2021-02-10T16:21:14.940Z,2021-02-10T16:21:14.940Z
90,1248,2660,2021-02-10T16:21:14.940Z,2021-02-10T16:21:14.940Z
