date,amount,total,lastUpdate
2020-05-24T00:00:00.000Z,1,284,2021-04-25T06:14:11.900Z
2020-05-25T00:00:00.000Z,2,286,2021-04-25T06:14:11.900Z
2020-05-26T00:00:00.000Z,0,286,2021-04-25T06:14:11.900Z
2020-05-27T00:00:00.000Z,2,288,2021-04-25T06:14:11.900Z
2020-05-28T00:00:00.000Z,1,289,2021-04-25T06:14:11.900Z
2020-05-29T00:00:00.000Z,0,289,2021-04-25T06:14:11.900Z
2020-05-30T00:00:00.000Z,0,289,2021-04-25T06:14:11.900Z
2020-05-31T00:00:00.000Z,0,289,2021-04-25T06:14:11.900Z
2020-06-01T00:00:00.000Z,3,292,2021-04-25T06:14:11.900Z
2020-06-02T00:00:00.000Z,2,294,2021-04-25T06:14:11.900Z
2020-06-03T00:00:00.000Z,1,295,2021-04-25T06:14:11.900Z
2020-06-04T00:00:00.000Z,0,295,2021-04-25T06:14:11.900Z
2020-06-05T00:00:00.000Z,1,296,2021-04-25T06:14:11.900Z
2020-06-06T00:00:00.000Z,4,300,2021-04-25T06:14:11.900Z
2020-06-07T00:00:00.000Z,2,302,2021-04-25T06:14:11.900Z
2020-06-08T00:00:00.000Z,0,302,2021-04-25T06:14:11.900Z
2020-06-09T00:00:00.000Z,1,303,2021-04-25T06:14:11.900Z
2020-06-10T00:00:00.000Z,1,304,2021-04-25T06:14:11.900Z
2020-06-11T00:00:00.000Z,0,304,2021-04-25T06:14:11.900Z
2020-06-12T00:00:00.000Z,0,304,2021-04-25T06:14:11.900Z
2020-06-13T00:00:00.000Z,1,305,2021-04-25T06:14:11.900Z
2020-06-14T00:00:00.000Z,2,307,2021-04-25T06:14:11.900Z
2020-06-15T00:00:00.000Z,0,307,2021-04-25T06:14:11.900Z
2020-06-16T00:00:00.000Z,1,308,2021-04-25T06:14:11.900Z
2020-06-17T00:00:00.000Z,0,308,2021-04-25T06:14:11.900Z
2020-06-18T00:00:00.000Z,0,308,2021-04-25T06:14:11.900Z
2020-06-19T00:00:00.000Z,1,309,2021-04-25T06:14:11.900Z
2020-06-20T00:00:00.000Z,1,310,2021-04-25T06:14:11.900Z
2020-06-21T00:00:00.000Z,0,310,2021-04-25T06:14:11.900Z
2020-06-22T00:00:00.000Z,1,311,2021-04-25T06:14:11.900Z
2020-06-23T00:00:00.000Z,2,313,2021-04-25T06:14:11.900Z
2020-06-24T00:00:00.000Z,3,316,2021-04-25T06:14:11.900Z
2020-06-25T00:00:00.000Z,4,320,2021-04-25T06:14:11.900Z
2020-06-26T00:00:00.000Z,3,323,2021-04-25T06:14:11.900Z
2020-06-27T00:00:00.000Z,3,326,2021-04-25T06:14:11.900Z
2020-06-28T00:00:00.000Z,2,328,2021-04-25T06:14:11.900Z
2020-06-29T00:00:00.000Z,0,328,2021-04-25T06:14:11.900Z
2020-06-30T00:00:00.000Z,1,329,2021-04-25T06:14:11.900Z
2020-07-01T00:00:00.000Z,3,332,2021-04-25T06:14:11.900Z
2020-07-02T00:00:00.000Z,1,333,2021-04-25T06:14:11.900Z
2020-07-03T00:00:00.000Z,3,336,2021-04-25T06:14:11.900Z
2020-07-04T00:00:00.000Z,5,341,2021-04-25T06:14:11.900Z
2020-07-05T00:00:00.000Z,2,343,2021-04-25T06:14:11.900Z
2020-07-06T00:00:00.000Z,8,351,2021-04-25T06:14:11.900Z
2020-07-07T00:00:00.000Z,5,356,2021-04-25T06:14:11.900Z
2020-07-08T00:00:00.000Z,5,361,2021-04-25T06:14:11.900Z
2020-07-09T00:00:00.000Z,5,366,2021-04-25T06:14:11.900Z
2020-07-10T00:00:00.000Z,4,370,2021-04-25T06:14:11.900Z
2020-07-11T00:00:00.000Z,5,375,2021-04-25T06:14:11.900Z
2020-07-12T00:00:00.000Z,7,382,2021-04-25T06:14:11.900Z
2020-07-13T00:00:00.000Z,4,386,2021-04-25T06:14:11.900Z
2020-07-14T00:00:00.000Z,7,393,2021-04-25T06:14:11.900Z
2020-07-15T00:00:00.000Z,6,399,2021-04-25T06:14:11.900Z
