dates,averages,lastUpdate
"{'begin_date': '14.2.21', 'end_date': '20.2.21'}",3677,2021-03-08T19:17:36.260Z
"{'begin_date': '21.2.21', 'end_date': '27.2.21'}",3685,2021-03-08T19:17:36.260Z
"{'begin_date': '28.2.21', 'end_date': '6.3.21'}",3745,2021-03-08T19:17:36.260Z
"{'begin_date': '7.3.21', 'end_date': '7.3.21'}",2334,2021-03-08T19:17:36.260Z
