age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,224921,109647,1505185,14.9,7.3,2021-02-21T19:48:18.680Z
20-29,683948,280831,1277634,53.5,22.0,2021-02-21T19:48:18.680Z
30-39,721787,339388,1186386,60.8,28.6,2021-02-21T19:48:18.680Z
40-49,773987,543497,1080768,71.6,50.3,2021-02-21T19:48:18.680Z
50-59,658334,525649,832687,79.1,63.1,2021-02-21T19:48:18.680Z
60-69,608768,545528,735380,82.8,74.2,2021-02-21T19:48:18.680Z
70-79,452214,421178,462148,97.9,91.1,2021-02-21T19:48:18.680Z
80-89,201616,186262,222547,90.6,83.7,2021-02-21T19:48:18.680Z
90+,47423,42854,50589,93.7,84.7,2021-02-21T19:48:18.680Z
