amount,lastUpdate
0,2021-04-09T05:57:12.460Z
0,2021-04-09T05:57:12.460Z
0,2021-04-09T05:57:12.460Z
1,2021-04-09T05:57:12.460Z
2,2021-04-09T05:57:12.460Z
3,2021-04-09T05:57:12.460Z
5,2021-04-09T05:57:12.460Z
5,2021-04-09T05:57:12.460Z
6,2021-04-09T05:57:12.460Z
7,2021-04-09T05:57:12.460Z
7,2021-04-09T05:57:12.460Z
7,2021-04-09T05:57:12.460Z
6,2021-04-09T05:57:12.460Z
9,2021-04-09T05:57:12.460Z
11,2021-04-09T05:57:12.460Z
12,2021-04-09T05:57:12.460Z
16,2021-04-09T05:57:12.460Z
21,2021-04-09T05:57:12.460Z
23,2021-04-09T05:57:12.460Z
27,2021-04-09T05:57:12.460Z
38,2021-04-09T05:57:12.460Z
44,2021-04-09T05:57:12.460Z
48,2021-04-09T05:57:12.460Z
52,2021-04-09T05:57:12.460Z
56,2021-04-09T05:57:12.460Z
67,2021-04-09T05:57:12.460Z
70,2021-04-09T05:57:12.460Z
80,2021-04-09T05:57:12.460Z
90,2021-04-09T05:57:12.460Z
99,2021-04-09T05:57:12.460Z
111,2021-04-09T05:57:12.460Z
113,2021-04-09T05:57:12.460Z
131,2021-04-09T05:57:12.460Z
140,2021-04-09T05:57:12.460Z
135,2021-04-09T05:57:12.460Z
147,2021-04-09T05:57:12.460Z
160,2021-04-09T05:57:12.460Z
166,2021-04-09T05:57:12.460Z
166,2021-04-09T05:57:12.460Z
170,2021-04-09T05:57:12.460Z
182,2021-04-09T05:57:12.460Z
177,2021-04-09T05:57:12.460Z
192,2021-04-09T05:57:12.460Z
178,2021-04-09T05:57:12.460Z
186,2021-04-09T05:57:12.460Z
182,2021-04-09T05:57:12.460Z
165,2021-04-09T05:57:12.460Z
175,2021-04-09T05:57:12.460Z
157,2021-04-09T05:57:12.460Z
155,2021-04-09T05:57:12.460Z
145,2021-04-09T05:57:12.460Z
149,2021-04-09T05:57:12.460Z
146,2021-04-09T05:57:12.460Z
144,2021-04-09T05:57:12.460Z
136,2021-04-09T05:57:12.460Z
142,2021-04-09T05:57:12.460Z
132,2021-04-09T05:57:12.460Z
127,2021-04-09T05:57:12.460Z
122,2021-04-09T05:57:12.460Z
112,2021-04-09T05:57:12.460Z
109,2021-04-09T05:57:12.460Z
111,2021-04-09T05:57:12.460Z
101,2021-04-09T05:57:12.460Z
97,2021-04-09T05:57:12.460Z
91,2021-04-09T05:57:12.460Z
88,2021-04-09T05:57:12.460Z
84,2021-04-09T05:57:12.460Z
78,2021-04-09T05:57:12.460Z
78,2021-04-09T05:57:12.460Z
74,2021-04-09T05:57:12.460Z
69,2021-04-09T05:57:12.460Z
66,2021-04-09T05:57:12.460Z
61,2021-04-09T05:57:12.460Z
61,2021-04-09T05:57:12.460Z
61,2021-04-09T05:57:12.460Z
60,2021-04-09T05:57:12.460Z
55,2021-04-09T05:57:12.460Z
52,2021-04-09T05:57:12.460Z
51,2021-04-09T05:57:12.460Z
46,2021-04-09T05:57:12.460Z
47,2021-04-09T05:57:12.460Z
46,2021-04-09T05:57:12.460Z
46,2021-04-09T05:57:12.460Z
