dates,averages,lastUpdate
"{'begin_date': '27.12.20', 'end_date': '2.1.21'}",5239,2021-01-23T18:37:03.467Z
"{'begin_date': '3.1.21', 'end_date': '9.1.21'}",7244,2021-01-23T18:37:03.467Z
"{'begin_date': '10.1.21', 'end_date': '16.1.21'}",8317,2021-01-23T18:37:03.467Z
"{'begin_date': '17.1.21', 'end_date': '23.1.21'}",7015,2021-01-23T18:37:03.467Z
