total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2020,1836,368,289,749,428,2021-01-23T18:37:03.467Z
100,91,20,16,41,23,2021-01-23T18:37:03.467Z
