section,male,female,lastUpdate,date
0,5459,5213,2020-08-23T03:21:42.033Z,2020-08-23T03:21:42.033Z
10,10514,8646,2020-08-23T03:21:42.033Z,2020-08-23T03:21:42.033Z
20,10686,10399,2020-08-23T03:21:42.033Z,2020-08-23T03:21:42.033Z
30,7365,6942,2020-08-23T03:21:42.033Z,2020-08-23T03:21:42.033Z
40,6266,6493,2020-08-23T03:21:42.033Z,2020-08-23T03:21:42.033Z
50,4956,5019,2020-08-23T03:21:42.033Z,2020-08-23T03:21:42.033Z
60,3486,3179,2020-08-23T03:21:42.033Z,2020-08-23T03:21:42.033Z
70,1769,1568,2020-08-23T03:21:42.033Z,2020-08-23T03:21:42.033Z
80,746,1010,2020-08-23T03:21:42.033Z,2020-08-23T03:21:42.033Z
90,204,466,2020-08-23T03:21:42.033Z,2020-08-23T03:21:42.033Z
