total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3263,959,197,148,341,262,2021-03-15T15:49:21.107Z
100,29,21,15,36,27,2021-03-15T15:49:21.107Z
