total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2020,1823,388,269,765,398,2021-01-21T19:47:52.763Z
100,90,21,15,42,22,2021-01-21T19:47:52.763Z
