section,male,female,lastUpdate,date
0,0,0,2020-12-30T08:30:50.383Z,2020-12-30T08:30:50.383Z
10,1,2,2020-12-30T08:30:50.383Z,2020-12-30T08:30:50.383Z
20,2,1,2020-12-30T08:30:50.383Z,2020-12-30T08:30:50.383Z
30,9,11,2020-12-30T08:30:50.383Z,2020-12-30T08:30:50.383Z
40,23,16,2020-12-30T08:30:50.383Z,2020-12-30T08:30:50.383Z
50,71,21,2020-12-30T08:30:50.383Z,2020-12-30T08:30:50.383Z
60,102,43,2020-12-30T08:30:50.383Z,2020-12-30T08:30:50.383Z
70,100,80,2020-12-30T08:30:50.383Z,2020-12-30T08:30:50.383Z
80,54,53,2020-12-30T08:30:50.383Z,2020-12-30T08:30:50.383Z
90,16,15,2020-12-30T08:30:50.383Z,2020-12-30T08:30:50.383Z
