section,male,female,lastUpdate,date
0,0,0,2020-11-02T03:27:15.743Z,2020-11-02T03:27:15.743Z
10,0,1,2020-11-02T03:27:15.743Z,2020-11-02T03:27:15.743Z
20,0,4,2020-11-02T03:27:15.743Z,2020-11-02T03:27:15.743Z
30,3,1,2020-11-02T03:27:15.743Z,2020-11-02T03:27:15.743Z
40,17,7,2020-11-02T03:27:15.743Z,2020-11-02T03:27:15.743Z
50,39,19,2020-11-02T03:27:15.743Z,2020-11-02T03:27:15.743Z
60,70,35,2020-11-02T03:27:15.743Z,2020-11-02T03:27:15.743Z
70,62,40,2020-11-02T03:27:15.743Z,2020-11-02T03:27:15.743Z
80,24,28,2020-11-02T03:27:15.743Z,2020-11-02T03:27:15.743Z
90,4,12,2020-11-02T03:27:15.743Z,2020-11-02T03:27:15.743Z
