section,male,female,lastUpdate,date
0,0,1,2021-02-07T18:09:40.503Z,2021-02-07T18:09:40.503Z
10,0,6,2021-02-07T18:09:40.503Z,2021-02-07T18:09:40.503Z
20,11,7,2021-02-07T18:09:40.503Z,2021-02-07T18:09:40.503Z
30,38,22,2021-02-07T18:09:40.503Z,2021-02-07T18:09:40.503Z
40,65,34,2021-02-07T18:09:40.503Z,2021-02-07T18:09:40.503Z
50,126,59,2021-02-07T18:09:40.503Z,2021-02-07T18:09:40.503Z
60,151,90,2021-02-07T18:09:40.503Z,2021-02-07T18:09:40.503Z
70,139,96,2021-02-07T18:09:40.503Z,2021-02-07T18:09:40.503Z
80,85,88,2021-02-07T18:09:40.503Z,2021-02-07T18:09:40.503Z
90,30,29,2021-02-07T18:09:40.503Z,2021-02-07T18:09:40.503Z
