name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
שיבא,,104.9367065429688,26,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
יוספטל,,55.38461685180664,2,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
שמיר,,65.88103485107422,15,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
וולפסון,,72.18154907226562,16,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
זיו צפת,,80.11527252197266,12,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
הלל יפה,,87.57281494140625,15,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
נהריה,,,19,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
ברזילי,,80.46357727050781,32,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
פוריה,,69.2957763671875,4,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
סוראסקי,,99.31682586669922,27,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
בני ציון,,80.13856506347656,4,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
רבין ק. בילינסון,,88.0239486694336,13,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
סורוקה,,76.19461059570312,28,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
מאיר,,90.35989379882812,17,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
קפלן,,110.830322265625,28,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
"רמב""ם",,91.18852233886719,3,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
הכרמל,,,0,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
השרון ק. גולדה,,58.5062255859375,15,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
הדסה עין כרם,,,34,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
הסקוטי,,28.5714282989502,7,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
המשפחה הקדושה,,,0,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
סנט ג'וזף,,,1,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
שערי צדק,,99.01719665527344,11,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
אל מקאסד,,,0,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
לניאדו,,86.07242584228516,11,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
אוגוסטה ויקטוריה,,,2,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
מעייני הישועה,,94.30379486083984,9,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
אסותא אשדוד,,,3,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
שניידר,,,0,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
סנט וינסנט,,,0,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
המרכזי בעמק,,78.96551513671875,25,2021-03-14T14:49:37.930Z,2021-03-14T14:49:37.930Z
