date,amount,recovered,lastUpdate
2020-05-05T00:00:00.000Z,32,350,2020-09-09T07:10:04.400Z
2020-05-06T00:00:00.000Z,65,208,2020-09-09T07:10:04.400Z
2020-05-07T00:00:00.000Z,61,267,2020-09-09T07:10:04.400Z
2020-05-08T00:00:00.000Z,33,295,2020-09-09T07:10:04.400Z
2020-05-09T00:00:00.000Z,19,104,2020-09-09T07:10:04.400Z
2020-05-10T00:00:00.000Z,29,123,2020-09-09T07:10:04.400Z
2020-05-11T00:00:00.000Z,39,430,2020-09-09T07:10:04.400Z
2020-05-12T00:00:00.000Z,23,198,2020-09-09T07:10:04.400Z
2020-05-13T00:00:00.000Z,37,183,2020-09-09T07:10:04.400Z
2020-05-14T00:00:00.000Z,24,240,2020-09-09T07:10:04.400Z
2020-05-15T00:00:00.000Z,12,227,2020-09-09T07:10:04.400Z
2020-05-16T00:00:00.000Z,5,65,2020-09-09T07:10:04.400Z
2020-05-17T00:00:00.000Z,15,138,2020-09-09T07:10:04.400Z
2020-05-18T00:00:00.000Z,27,283,2020-09-09T07:10:04.400Z
2020-05-19T00:00:00.000Z,22,181,2020-09-09T07:10:04.400Z
2020-05-20T00:00:00.000Z,15,124,2020-09-09T07:10:04.400Z
2020-05-21T00:00:00.000Z,16,209,2020-09-09T07:10:04.400Z
2020-05-22T00:00:00.000Z,20,164,2020-09-09T07:10:04.400Z
2020-05-23T00:00:00.000Z,4,34,2020-09-09T07:10:04.400Z
2020-05-24T00:00:00.000Z,13,108,2020-09-09T07:10:04.400Z
2020-05-25T00:00:00.000Z,22,176,2020-09-09T07:10:04.400Z
2020-05-26T00:00:00.000Z,50,93,2020-09-09T07:10:04.400Z
2020-05-27T00:00:00.000Z,40,98,2020-09-09T07:10:04.400Z
2020-05-28T00:00:00.000Z,77,137,2020-09-09T07:10:04.400Z
2020-05-29T00:00:00.000Z,113,40,2020-09-09T07:10:04.400Z
2020-05-30T00:00:00.000Z,29,29,2020-09-09T07:10:04.400Z
2020-05-31T00:00:00.000Z,87,59,2020-09-09T07:10:04.400Z
2020-06-01T00:00:00.000Z,100,105,2020-09-09T07:10:04.400Z
2020-06-02T00:00:00.000Z,121,46,2020-09-09T07:10:04.400Z
2020-06-03T00:00:00.000Z,97,33,2020-09-09T07:10:04.400Z
2020-06-04T00:00:00.000Z,141,58,2020-09-09T07:10:04.400Z
2020-06-05T00:00:00.000Z,124,36,2020-09-09T07:10:04.400Z
2020-06-06T00:00:00.000Z,78,38,2020-09-09T07:10:04.400Z
2020-06-07T00:00:00.000Z,140,51,2020-09-09T07:10:04.400Z
2020-06-08T00:00:00.000Z,179,37,2020-09-09T07:10:04.400Z
2020-06-09T00:00:00.000Z,172,44,2020-09-09T07:10:04.400Z
2020-06-10T00:00:00.000Z,239,71,2020-09-09T07:10:04.400Z
2020-06-11T00:00:00.000Z,191,74,2020-09-09T07:10:04.400Z
2020-06-12T00:00:00.000Z,183,69,2020-09-09T07:10:04.400Z
2020-06-13T00:00:00.000Z,150,53,2020-09-09T07:10:04.400Z
2020-06-14T00:00:00.000Z,136,38,2020-09-09T07:10:04.400Z
2020-06-15T00:00:00.000Z,198,70,2020-09-09T07:10:04.400Z
2020-06-16T00:00:00.000Z,298,38,2020-09-09T07:10:04.400Z
2020-06-17T00:00:00.000Z,270,50,2020-09-09T07:10:04.400Z
2020-06-18T00:00:00.000Z,302,75,2020-09-09T07:10:04.400Z
2020-06-19T00:00:00.000Z,308,68,2020-09-09T07:10:04.400Z
2020-06-20T00:00:00.000Z,157,58,2020-09-09T07:10:04.400Z
2020-06-21T00:00:00.000Z,172,46,2020-09-09T07:10:04.400Z
2020-06-22T00:00:00.000Z,346,88,2020-09-09T07:10:04.400Z
2020-06-23T00:00:00.000Z,448,110,2020-09-09T07:10:04.400Z
2020-06-24T00:00:00.000Z,485,56,2020-09-09T07:10:04.400Z
2020-06-25T00:00:00.000Z,513,124,2020-09-09T07:10:04.400Z
2020-06-26T00:00:00.000Z,464,125,2020-09-09T07:10:04.400Z
2020-06-27T00:00:00.000Z,401,85,2020-09-09T07:10:04.400Z
2020-06-28T00:00:00.000Z,381,109,2020-09-09T07:10:04.400Z
2020-06-29T00:00:00.000Z,752,192,2020-09-09T07:10:04.400Z
2020-06-30T00:00:00.000Z,780,121,2020-09-09T07:10:04.400Z
2020-07-01T00:00:00.000Z,968,113,2020-09-09T07:10:04.400Z
2020-07-02T00:00:00.000Z,1144,137,2020-09-09T07:10:04.400Z
2020-07-03T00:00:00.000Z,946,139,2020-09-09T07:10:04.400Z
2020-07-04T00:00:00.000Z,821,130,2020-09-09T07:10:04.400Z
2020-07-05T00:00:00.000Z,839,156,2020-09-09T07:10:04.400Z
2020-07-06T00:00:00.000Z,1138,151,2020-09-09T07:10:04.400Z
2020-07-07T00:00:00.000Z,1385,163,2020-09-09T07:10:04.400Z
2020-07-08T00:00:00.000Z,1323,140,2020-09-09T07:10:04.400Z
2020-07-09T00:00:00.000Z,1522,207,2020-09-09T07:10:04.400Z
2020-07-10T00:00:00.000Z,1412,213,2020-09-09T07:10:04.400Z
2020-07-11T00:00:00.000Z,1162,208,2020-09-09T07:10:04.400Z
2020-07-12T00:00:00.000Z,1246,297,2020-09-09T07:10:04.400Z
2020-07-13T00:00:00.000Z,1714,340,2020-09-09T07:10:04.400Z
2020-07-14T00:00:00.000Z,1602,310,2020-09-09T07:10:04.400Z
2020-07-15T00:00:00.000Z,1878,381,2020-09-09T07:10:04.400Z
2020-07-16T00:00:00.000Z,1931,489,2020-09-09T07:10:04.400Z
2020-07-17T00:00:00.000Z,1602,500,2020-09-09T07:10:04.400Z
2020-07-18T00:00:00.000Z,1442,529,2020-09-09T07:10:04.400Z
2020-07-19T00:00:00.000Z,1016,438,2020-09-09T07:10:04.400Z
2020-07-20T00:00:00.000Z,1895,623,2020-09-09T07:10:04.400Z
2020-07-21T00:00:00.000Z,2002,639,2020-09-09T07:10:04.400Z
2020-07-22T00:00:00.000Z,2042,3719,2020-09-09T07:10:04.400Z
2020-07-23T00:00:00.000Z,1986,7214,2020-09-09T07:10:04.400Z
2020-07-24T00:00:00.000Z,1832,1900,2020-09-09T07:10:04.400Z
2020-07-25T00:00:00.000Z,1113,673,2020-09-09T07:10:04.400Z
2020-07-26T00:00:00.000Z,1043,2979,2020-09-09T07:10:04.400Z
2020-07-27T00:00:00.000Z,2055,1974,2020-09-09T07:10:04.400Z
2020-07-28T00:00:00.000Z,2129,1751,2020-09-09T07:10:04.400Z
2020-07-29T00:00:00.000Z,1962,1519,2020-09-09T07:10:04.400Z
2020-07-30T00:00:00.000Z,1790,1831,2020-09-09T07:10:04.400Z
2020-07-31T00:00:00.000Z,1355,1397,2020-09-09T07:10:04.400Z
