section,male,female,lastUpdate,date
0,0,1,2021-02-23T20:08:32.790Z,2021-02-23T20:08:32.790Z
10,0,3,2021-02-23T20:08:32.790Z,2021-02-23T20:08:32.790Z
20,3,5,2021-02-23T20:08:32.790Z,2021-02-23T20:08:32.790Z
30,13,9,2021-02-23T20:08:32.790Z,2021-02-23T20:08:32.790Z
40,22,11,2021-02-23T20:08:32.790Z,2021-02-23T20:08:32.790Z
50,37,18,2021-02-23T20:08:32.790Z,2021-02-23T20:08:32.790Z
60,36,23,2021-02-23T20:08:32.790Z,2021-02-23T20:08:32.790Z
70,30,19,2021-02-23T20:08:32.790Z,2021-02-23T20:08:32.790Z
80,5,11,2021-02-23T20:08:32.790Z,2021-02-23T20:08:32.790Z
90,2,2,2021-02-23T20:08:32.790Z,2021-02-23T20:08:32.790Z
