age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,321474,271556,1538337,20.9,17.7,2021-03-30T18:50:39.677Z
20-29,945950,816227,1300361,72.7,62.8,2021-03-30T18:50:39.677Z
30-39,926501,826605,1197026,77.4,69.1,2021-03-30T18:50:39.677Z
40-49,903356,828079,1098556,82.2,75.4,2021-03-30T18:50:39.677Z
50-59,740311,687545,849966,87.1,80.9,2021-03-30T18:50:39.677Z
60-69,657381,623109,741639,88.6,84.0,2021-03-30T18:50:39.677Z
70-79,477039,459153,490784,97.2,93.6,2021-03-30T18:50:39.677Z
80-89,213148,204330,225538,94.5,90.6,2021-03-30T18:50:39.677Z
90+,50082,47152,51496,97.3,91.6,2021-03-30T18:50:39.677Z
