total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3263,1080,198,153,389,255,2021-03-14T05:13:42.657Z
100,33,18,14,36,24,2021-03-14T05:13:42.657Z
