dates,averages,lastUpdate
"{'begin_date': '7.2.21', 'end_date': '13.2.21'}",5116,2021-02-28T19:25:36.107Z
"{'begin_date': '14.2.21', 'end_date': '20.2.21'}",3677,2021-02-28T19:25:36.107Z
"{'begin_date': '21.2.21', 'end_date': '27.2.21'}",3680,2021-02-28T19:25:36.107Z
