section,male,female,lastUpdate,date
0,0,1,2021-01-14T05:08:05.827Z,2021-01-14T05:08:05.827Z
10,0,0,2021-01-14T05:08:05.827Z,2021-01-14T05:08:05.827Z
20,2,1,2021-01-14T05:08:05.827Z,2021-01-14T05:08:05.827Z
30,2,2,2021-01-14T05:08:05.827Z,2021-01-14T05:08:05.827Z
40,12,9,2021-01-14T05:08:05.827Z,2021-01-14T05:08:05.827Z
50,34,10,2021-01-14T05:08:05.827Z,2021-01-14T05:08:05.827Z
60,64,24,2021-01-14T05:08:05.827Z,2021-01-14T05:08:05.827Z
70,47,25,2021-01-14T05:08:05.827Z,2021-01-14T05:08:05.827Z
80,15,10,2021-01-14T05:08:05.827Z,2021-01-14T05:08:05.827Z
90,6,2,2021-01-14T05:08:05.827Z,2021-01-14T05:08:05.827Z
