section,male,female,lastUpdate,date
0,0,0.0,2020-12-11T11:40:43.183Z,2020-12-11T11:40:43.183Z
10,2,,2020-12-11T11:40:43.183Z,2020-12-11T11:40:43.183Z
20,1,1.0,2020-12-11T11:40:43.183Z,2020-12-11T11:40:43.183Z
30,6,1.0,2020-12-11T11:40:43.183Z,2020-12-11T11:40:43.183Z
40,14,10.0,2020-12-11T11:40:43.183Z,2020-12-11T11:40:43.183Z
50,31,13.0,2020-12-11T11:40:43.183Z,2020-12-11T11:40:43.183Z
60,53,21.0,2020-12-11T11:40:43.183Z,2020-12-11T11:40:43.183Z
70,66,33.0,2020-12-11T11:40:43.183Z,2020-12-11T11:40:43.183Z
80,28,30.0,2020-12-11T11:40:43.183Z,2020-12-11T11:40:43.183Z
90,4,5.0,2020-12-11T11:40:43.183Z,2020-12-11T11:40:43.183Z
