amount,lastUpdate
0,2020-12-13T07:58:55.543Z
0,2020-12-13T07:58:55.543Z
0,2020-12-13T07:58:55.543Z
1,2020-12-13T07:58:55.543Z
2,2020-12-13T07:58:55.543Z
3,2020-12-13T07:58:55.543Z
5,2020-12-13T07:58:55.543Z
5,2020-12-13T07:58:55.543Z
6,2020-12-13T07:58:55.543Z
7,2020-12-13T07:58:55.543Z
7,2020-12-13T07:58:55.543Z
7,2020-12-13T07:58:55.543Z
6,2020-12-13T07:58:55.543Z
9,2020-12-13T07:58:55.543Z
11,2020-12-13T07:58:55.543Z
12,2020-12-13T07:58:55.543Z
16,2020-12-13T07:58:55.543Z
21,2020-12-13T07:58:55.543Z
23,2020-12-13T07:58:55.543Z
27,2020-12-13T07:58:55.543Z
38,2020-12-13T07:58:55.543Z
44,2020-12-13T07:58:55.543Z
48,2020-12-13T07:58:55.543Z
52,2020-12-13T07:58:55.543Z
56,2020-12-13T07:58:55.543Z
67,2020-12-13T07:58:55.543Z
70,2020-12-13T07:58:55.543Z
80,2020-12-13T07:58:55.543Z
89,2020-12-13T07:58:55.543Z
98,2020-12-13T07:58:55.543Z
111,2020-12-13T07:58:55.543Z
113,2020-12-13T07:58:55.543Z
131,2020-12-13T07:58:55.543Z
140,2020-12-13T07:58:55.543Z
135,2020-12-13T07:58:55.543Z
147,2020-12-13T07:58:55.543Z
160,2020-12-13T07:58:55.543Z
166,2020-12-13T07:58:55.543Z
166,2020-12-13T07:58:55.543Z
170,2020-12-13T07:58:55.543Z
182,2020-12-13T07:58:55.543Z
177,2020-12-13T07:58:55.543Z
192,2020-12-13T07:58:55.543Z
178,2020-12-13T07:58:55.543Z
179,2020-12-13T07:58:55.543Z
182,2020-12-13T07:58:55.543Z
165,2020-12-13T07:58:55.543Z
174,2020-12-13T07:58:55.543Z
157,2020-12-13T07:58:55.543Z
154,2020-12-13T07:58:55.543Z
145,2020-12-13T07:58:55.543Z
149,2020-12-13T07:58:55.543Z
