total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2208,1759,343,234,736,399,2021-01-27T19:14:37.080Z
100,80,19,13,42,23,2021-01-27T19:14:37.080Z
