section,male,female,lastUpdate,date
0,20547,19629,2020-12-22T19:45:00.447Z,2020-12-22T19:45:00.447Z
10,44012,33411,2020-12-22T19:45:00.447Z,2020-12-22T19:45:00.447Z
20,38466,36464,2020-12-22T19:45:00.447Z,2020-12-22T19:45:00.447Z
30,26442,26893,2020-12-22T19:45:00.447Z,2020-12-22T19:45:00.447Z
40,23259,25161,2020-12-22T19:45:00.447Z,2020-12-22T19:45:00.447Z
50,18144,19037,2020-12-22T19:45:00.447Z,2020-12-22T19:45:00.447Z
60,13319,11979,2020-12-22T19:45:00.447Z,2020-12-22T19:45:00.447Z
70,6667,6092,2020-12-22T19:45:00.447Z,2020-12-22T19:45:00.447Z
80,2774,3566,2020-12-22T19:45:00.447Z,2020-12-22T19:45:00.447Z
90,667,1514,2020-12-22T19:45:00.447Z,2020-12-22T19:45:00.447Z
