city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands,lastUpdate,date
ירושלים,81937,14944,9769,82115,160,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
בני ברק,33542,4179,2656,19218,208,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
מודיעין עילית,16044,3161,2070,12056,411,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
בית שמש,12299,2351,1590,11358,185,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
תל אביב - יפו,16021,2148,1177,40716,47,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
פתח תקווה,12336,2120,1290,26130,86,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
חיפה,10813,1975,1141,27882,72,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
אשדוד,16996,1842,1158,19145,82,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
ביתר עילית,8860,1573,1082,4412,255,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
אלעד,7778,1386,896,5215,291,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
נתניה,9864,1251,752,16641,58,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
חולון,8540,1116,681,15783,60,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
באר שבע,8670,1111,668,19479,56,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
נצרת,5884,1086,636,4860,138,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
ראשון לציון,8134,1017,625,18323,42,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
רחובות,6543,851,541,12118,61,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
רמת גן,4671,803,446,14169,55,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
אשקלון,6113,758,505,11834,53,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
רמלה,4910,701,405,6882,93,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
בת ים,5411,690,388,9987,53,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
לוד,4586,606,366,6050,79,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
קרית גת,3609,593,364,5724,103,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
צפת,2156,529,308,3614,147,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
ראש העין,3083,481,312,7888,81,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
שפרעם,2962,478,253,2850,116,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
קרית אתא,2490,464,280,6368,80,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
טמרה,2928,459,263,2362,134,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
מודיעין-מכבים-רעות,3088,431,278,9195,49,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
סח'נין,3284,412,285,3102,126,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
חדרה,4004,406,242,7106,43,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
יבנה,2497,406,257,4437,87,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
נתיבות,3616,404,251,3508,105,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
כפר סבא,2611,386,215,10279,39,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
אום אל-פחם,4255,384,295,2234,68,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
רעננה,2596,383,247,9339,51,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
גבעת זאב,2231,379,215,2353,199,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
טבריה,2794,375,208,4125,83,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
מעלה אדומים,2141,373,257,4680,99,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
עפולה,2291,361,196,5099,68,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
עכו,2423,360,232,4438,70,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
נוף הגליל,1743,357,213,4357,81,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
רכסים,1990,352,216,1888,284,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
קרית מוצקין,1432,337,167,6188,77,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
נהריה,2096,333,169,5572,56,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
ערד,1776,332,140,3110,123,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
כפר כנא,1691,322,194,1384,141,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
הרצליה,2640,307,179,8239,33,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
דאלית אל-כרמל,1566,272,176,1244,158,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
כרמיאל,1650,263,160,3705,57,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
קרית ים,1390,262,153,4982,67,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
מבשרת ציון,1202,262,170,3262,113,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
כוכב יעקב,1025,249,175,1123,279,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
אור יהודה,2458,249,139,3024,72,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
