section,male,female,lastUpdate,date
0,0,1,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
10,1,1,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
20,5,3,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
30,8,12,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
40,44,21,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
50,110,49,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
60,161,76,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
70,164,113,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
80,124,108,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
90,32,54,2021-01-13T07:05:04.700Z,2021-01-13T07:05:04.700Z
