age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,166567,24613,1505185,11.1,1.6,2021-02-11T06:22:53.990Z
20-29,468273,165794,1277634,36.7,13.0,2021-02-11T06:22:53.990Z
30-39,534401,205178,1186386,45.0,17.3,2021-02-11T06:22:53.990Z
40-49,661773,355007,1080768,61.2,32.8,2021-02-11T06:22:53.990Z
50-59,593270,438186,832687,71.2,52.6,2021-02-11T06:22:53.990Z
60-69,578742,513200,735380,78.7,69.8,2021-02-11T06:22:53.990Z
70-79,439241,404451,462148,95.0,87.5,2021-02-11T06:22:53.990Z
80-89,196202,178614,222547,88.2,80.3,2021-02-11T06:22:53.990Z
90+,46245,41042,50589,91.4,81.1,2021-02-11T06:22:53.990Z
