section,male,female,lastUpdate,date
0,0,0,2020-12-01T16:44:19.780Z,2020-12-01T16:44:19.780Z
10,1,0,2020-12-01T16:44:19.780Z,2020-12-01T16:44:19.780Z
20,0,0,2020-12-01T16:44:19.780Z,2020-12-01T16:44:19.780Z
30,1,1,2020-12-01T16:44:19.780Z,2020-12-01T16:44:19.780Z
40,12,7,2020-12-01T16:44:19.780Z,2020-12-01T16:44:19.780Z
50,26,14,2020-12-01T16:44:19.780Z,2020-12-01T16:44:19.780Z
60,42,22,2020-12-01T16:44:19.780Z,2020-12-01T16:44:19.780Z
70,54,32,2020-12-01T16:44:19.780Z,2020-12-01T16:44:19.780Z
80,16,25,2020-12-01T16:44:19.780Z,2020-12-01T16:44:19.780Z
90,2,3,2020-12-01T16:44:19.780Z,2020-12-01T16:44:19.780Z
