age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,145109,17904,1505185,9.6,1.2,2021-02-04T21:09:35.137Z
20-29,369945,113427,1277634,29.0,8.9,2021-02-04T21:09:35.137Z
30-39,436765,155232,1186386,36.8,13.1,2021-02-04T21:09:35.137Z
40-49,612969,248045,1080768,56.7,23.0,2021-02-04T21:09:35.137Z
50-59,565347,340480,832687,67.9,40.9,2021-02-04T21:09:35.137Z
60-69,566451,486822,735380,77.0,66.2,2021-02-04T21:09:35.137Z
70-79,433179,390792,462148,93.7,84.6,2021-02-04T21:09:35.137Z
80-89,193288,172390,222547,86.9,77.5,2021-02-04T21:09:35.137Z
90+,45416,39801,50589,89.8,78.7,2021-02-04T21:09:35.137Z
