age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,51914,7433,1505185,3.4,0.5,2021-01-25T15:19:21.960Z
20-29,215392,53782,1277634,16.9,4.2,2021-01-25T15:19:21.960Z
30-39,251389,76076,1186386,21.2,6.4,2021-01-25T15:19:21.960Z
40-49,450651,117197,1080768,41.7,10.8,2021-01-25T15:19:21.960Z
50-59,488459,158654,832687,58.7,19.1,2021-01-25T15:19:21.960Z
60-69,534463,334559,735380,72.7,45.5,2021-01-25T15:19:21.960Z
70-79,415921,289754,462148,90.0,62.7,2021-01-25T15:19:21.960Z
80-89,184921,122998,222547,83.1,55.3,2021-01-25T15:19:21.960Z
90+,43308,28846,50589,85.6,57.0,2021-01-25T15:19:21.960Z
