section,male,female,lastUpdate,date
0,2,2,2021-01-21T08:35:56.320Z,2021-01-21T08:35:56.320Z
10,2,2,2021-01-21T08:35:56.320Z,2021-01-21T08:35:56.320Z
20,5,9,2021-01-21T08:35:56.320Z,2021-01-21T08:35:56.320Z
30,14,9,2021-01-21T08:35:56.320Z,2021-01-21T08:35:56.320Z
40,28,27,2021-01-21T08:35:56.320Z,2021-01-21T08:35:56.320Z
50,143,69,2021-01-21T08:35:56.320Z,2021-01-21T08:35:56.320Z
60,397,162,2021-01-21T08:35:56.320Z,2021-01-21T08:35:56.320Z
70,700,343,2021-01-21T08:35:56.320Z,2021-01-21T08:35:56.320Z
80,789,648,2021-01-21T08:35:56.320Z,2021-01-21T08:35:56.320Z
90,365,493,2021-01-21T08:35:56.320Z,2021-01-21T08:35:56.320Z
