section,male,female,lastUpdate,date
0,14746,14171,2020-10-07T04:53:38.940Z,2020-10-07T04:53:38.940Z
10,35169,24167,2020-10-07T04:53:38.940Z,2020-10-07T04:53:38.940Z
20,29123,26132,2020-10-07T04:53:38.940Z,2020-10-07T04:53:38.940Z
30,19497,18943,2020-10-07T04:53:38.940Z,2020-10-07T04:53:38.940Z
40,16993,17846,2020-10-07T04:53:38.940Z,2020-10-07T04:53:38.940Z
50,13090,13426,2020-10-07T04:53:38.940Z,2020-10-07T04:53:38.940Z
60,9412,8304,2020-10-07T04:53:38.940Z,2020-10-07T04:53:38.940Z
70,4501,4073,2020-10-07T04:53:38.940Z,2020-10-07T04:53:38.940Z
80,1905,2378,2020-10-07T04:53:38.940Z,2020-10-07T04:53:38.940Z
90,446,1022,2020-10-07T04:53:38.940Z,2020-10-07T04:53:38.940Z
