section,male,female,lastUpdate,date
0,0,1,2020-11-20T03:47:09.840Z,2020-11-20T03:47:09.840Z
10,2,1,2020-11-20T03:47:09.840Z,2020-11-20T03:47:09.840Z
20,0,1,2020-11-20T03:47:09.840Z,2020-11-20T03:47:09.840Z
30,2,3,2020-11-20T03:47:09.840Z,2020-11-20T03:47:09.840Z
40,11,9,2020-11-20T03:47:09.840Z,2020-11-20T03:47:09.840Z
50,25,16,2020-11-20T03:47:09.840Z,2020-11-20T03:47:09.840Z
60,50,26,2020-11-20T03:47:09.840Z,2020-11-20T03:47:09.840Z
70,53,37,2020-11-20T03:47:09.840Z,2020-11-20T03:47:09.840Z
80,25,24,2020-11-20T03:47:09.840Z,2020-11-20T03:47:09.840Z
90,7,9,2020-11-20T03:47:09.840Z,2020-11-20T03:47:09.840Z
