total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2020,1827,355,274,738,411,2021-01-24T20:15:06.353Z
100,90,19,15,40,22,2021-01-24T20:15:06.353Z
