age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,332445,293592,1538337,21.6,19.1,2021-04-12T14:46:50.723Z
20-29,971659,872200,1300361,74.7,67.1,2021-04-12T14:46:50.723Z
30-39,946407,869725,1197026,79.1,72.7,2021-04-12T14:46:50.723Z
40-49,916375,855401,1098556,83.4,77.9,2021-04-12T14:46:50.723Z
50-59,748914,703158,849966,88.1,82.7,2021-04-12T14:46:50.723Z
60-69,662714,631764,741639,89.4,85.2,2021-04-12T14:46:50.723Z
70-79,480148,463583,490784,97.8,94.5,2021-04-12T14:46:50.723Z
80-89,214848,206655,225538,95.3,91.6,2021-04-12T14:46:50.723Z
90+,50681,47771,51496,98.4,92.8,2021-04-12T14:46:50.723Z
