section,male,female,lastUpdate,date
0,2,4,2021-04-12T14:46:50.723Z,2021-04-12T14:46:50.723Z
10,4,1,2021-04-12T14:46:50.723Z,2021-04-12T14:46:50.723Z
20,18,13,2021-04-12T14:46:50.723Z,2021-04-12T14:46:50.723Z
30,29,20,2021-04-12T14:46:50.723Z,2021-04-12T14:46:50.723Z
40,58,55,2021-04-12T14:46:50.723Z,2021-04-12T14:46:50.723Z
50,226,110,2021-04-12T14:46:50.723Z,2021-04-12T14:46:50.723Z
60,612,281,2021-04-12T14:46:50.723Z,2021-04-12T14:46:50.723Z
70,995,556,2021-04-12T14:46:50.723Z,2021-04-12T14:46:50.723Z
80,1116,973,2021-04-12T14:46:50.723Z,2021-04-12T14:46:50.723Z
90,527,704,2021-04-12T14:46:50.723Z,2021-04-12T14:46:50.723Z
