age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,296872,199875,1538337,19.3,13.0,2021-03-11T18:54:44.693Z
20-29,897581,600618,1300361,69.0,46.2,2021-03-11T18:54:44.693Z
30-39,905484,644685,1197026,75.6,53.9,2021-03-11T18:54:44.693Z
40-49,894039,716827,1098556,81.4,65.3,2021-03-11T18:54:44.693Z
50-59,733187,621798,849966,86.3,73.2,2021-03-11T18:54:44.693Z
60-69,648390,589831,741639,87.4,79.5,2021-03-11T18:54:44.693Z
70-79,471727,442991,490784,96.1,90.3,2021-03-11T18:54:44.693Z
80-89,210469,196585,225538,93.3,87.2,2021-03-11T18:54:44.693Z
90+,49359,45493,51496,95.9,88.3,2021-03-11T18:54:44.693Z
