total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2020,1844,370,287,748,423,2021-01-23T14:28:52.590Z
100,91,20,16,41,23,2021-01-23T14:28:52.590Z
