date,dailyDoublingRate,numberOfDoublingDays,lastUpdate
2020-04-11T00:00:00.000Z,-2.848211184439042,-23.98798580696164,2020-09-16T04:02:59.200Z
2020-04-12T00:00:00.000Z,-1.036825169824807,-66.50567487439876,2020-09-16T04:02:59.200Z
2020-04-13T00:00:00.000Z,-0.46965317919075433,-147.2401849338434,2020-09-16T04:02:59.200Z
2020-04-14T00:00:00.000Z,0.7622504537205144,91.28044365490517,2020-09-16T04:02:59.200Z
2020-04-15T00:00:00.000Z,-0.9726224783861648,-70.9186608605419,2020-09-16T04:02:59.200Z
2020-04-16T00:00:00.000Z,-1.70971262277192,-40.19416646273066,2020-09-16T04:02:59.200Z
2020-04-17T00:00:00.000Z,-2.257586972612879,-30.35511862085094,2020-09-16T04:02:59.200Z
2020-04-18T00:00:00.000Z,-2.044680045437342,-33.55226467610461,2020-09-16T04:02:59.200Z
2020-04-19T00:00:00.000Z,-10.70738306919211,-6.1204303973952,2020-09-16T04:02:59.200Z
2020-04-20T00:00:00.000Z,-6.01731601731601,-11.16905047503499,2020-09-16T04:02:59.200Z
2020-04-21T00:00:00.000Z,-5.343159834177813,-12.62286273371538,2020-09-16T04:02:59.200Z
2020-04-22T00:00:00.000Z,-4.184914841849141,-16.21395082031938,2020-09-16T04:02:59.200Z
2020-04-23T00:00:00.000Z,-1.015744032503796,-67.89317662000862,2020-09-16T04:02:59.200Z
2020-04-24T00:00:00.000Z,-2.565418163160604,-26.67080234199202,2020-09-16T04:02:59.200Z
2020-04-25T00:00:00.000Z,-6.951026856240128,-9.621132724322454,2020-09-16T04:02:59.200Z
2020-04-26T00:00:00.000Z,-10.97906055461233,-5.960066275638128,2020-09-16T04:02:59.200Z
2020-04-27T00:00:00.000Z,-10.934520025429121,-5.985811890477562,2020-09-16T04:02:59.200Z
2020-04-28T00:00:00.000Z,-8.779443254817975,-7.543234833976736,2020-09-16T04:02:59.200Z
2020-04-29T00:00:00.000Z,-11.18935837245697,-5.841273710706825,2020-09-16T04:02:59.200Z
2020-04-30T00:00:00.000Z,-11.80616740088105,-5.517231536804165,2020-09-16T04:02:59.200Z
2020-05-01T00:00:00.000Z,-13.086913086913091,-4.941818290578298,2020-09-16T04:02:59.200Z
2020-05-02T00:00:00.000Z,-11.7241379310345,-5.558362837125065,2020-09-16T04:02:59.200Z
2020-05-03T00:00:00.000Z,-7.2916666666666625,-9.15507201741447,2020-09-16T04:02:59.200Z
2020-05-04T00:00:00.000Z,-10.39325842696629,-6.316288771596535,2020-09-16T04:02:59.200Z
2020-05-05T00:00:00.000Z,-20.06269592476488,-3.095408121747717,2020-09-16T04:02:59.200Z
2020-05-06T00:00:00.000Z,-3.3333333333333335,-20.44588363361445,2020-09-16T04:02:59.200Z
2020-05-07T00:00:00.000Z,-16.43002028397567,-3.861849155747538,2020-09-16T04:02:59.200Z
2020-05-08T00:00:00.000Z,-20.38834951456311,-3.039989333899476,2020-09-16T04:02:59.200Z
2020-05-09T00:00:00.000Z,-11.58536585365853,-5.629270394679018,2020-09-16T04:02:59.200Z
2020-05-10T00:00:00.000Z,0.6896551724137945,100.8525177787126,2020-09-16T04:02:59.200Z
2020-05-11T00:00:00.000Z,-4.7945205479452015,-14.10765827448179,2020-09-16T04:02:59.200Z
2020-05-12T00:00:00.000Z,-3.237410071942448,-21.06207174721242,2020-09-16T04:02:59.200Z
2020-05-13T00:00:00.000Z,-10.4089219330855,-6.306242765021006,2020-09-16T04:02:59.200Z
2020-05-14T00:00:00.000Z,-15.35269709543569,-4.158626754428511,2020-09-16T04:02:59.200Z
2020-05-15T00:00:00.000Z,-10.29411764705882,-6.380582460875227,2020-09-16T04:02:59.200Z
2020-05-16T00:00:00.000Z,-7.650273224043714,-8.709253604457993,2020-09-16T04:02:59.200Z
2020-05-17T00:00:00.000Z,-8.284023668639051,-8.015708800844283,2020-09-16T04:02:59.200Z
2020-05-18T00:00:00.000Z,-7.741935483870977,-8.601923484159142,2020-09-16T04:02:59.200Z
2020-05-19T00:00:00.000Z,-0.6993006993006978,-98.77306787923165,2020-09-16T04:02:59.200Z
2020-05-20T00:00:00.000Z,-15.492957746478881,-4.117657553344388,2020-09-16T04:02:59.200Z
2020-05-21T00:00:00.000Z,-5.833333333333335,-11.53247797524948,2020-09-16T04:02:59.200Z
2020-05-22T00:00:00.000Z,6.194690265486735,11.53247797524951,2020-09-16T04:02:59.200Z
2020-05-23T00:00:00.000Z,0.0,,2020-09-16T04:02:59.200Z
2020-05-24T00:00:00.000Z,-1.6666666666666612,-41.24128643066459,2020-09-16T04:02:59.200Z
2020-05-25T00:00:00.000Z,-4.237288135593231,-16.00919902749929,2020-09-16T04:02:59.200Z
2020-05-26T00:00:00.000Z,24.7787610619469,3.131141048389726,2020-09-16T04:02:59.200Z
2020-05-27T00:00:00.000Z,17.73049645390072,4.246499459619185,2020-09-16T04:02:59.200Z
2020-05-28T00:00:00.000Z,36.144578313253,2.246486618701694,2020-09-16T04:02:59.200Z
2020-05-29T00:00:00.000Z,41.5929203539823,1.993027860502493,2020-09-16T04:02:59.200Z
2020-05-30T00:00:00.000Z,7.499999999999996,9.584358956627884,2020-09-16T04:02:59.200Z
2020-05-31T00:00:00.000Z,21.51162790697674,3.557524022091926,2020-09-16T04:02:59.200Z
2020-06-01T00:00:00.000Z,18.66028708133971,4.051253570725667,2020-09-16T04:02:59.200Z
2020-06-02T00:00:00.000Z,14.314516129032251,5.181115891141776,2020-09-16T04:02:59.200Z
2020-06-03T00:00:00.000Z,10.05291005291005,7.236031702464029,2020-09-16T04:02:59.200Z
2020-06-04T00:00:00.000Z,10.41666666666667,6.995063745140872,2020-09-16T04:02:59.200Z
2020-06-05T00:00:00.000Z,1.7416545718432541,40.14377685353481,2020-09-16T04:02:59.200Z
2020-06-06T00:00:00.000Z,6.9900142653352315,10.25891960154768,2020-09-16T04:02:59.200Z
2020-06-07T00:00:00.000Z,7.0666666666666655,10.15131631955456,2020-09-16T04:02:59.200Z
2020-06-08T00:00:00.000Z,9.838107098381066,7.386688128021843,2020-09-16T04:02:59.200Z
2020-06-09T00:00:00.000Z,5.782312925170063,12.33069565003064,2020-09-16T04:02:59.200Z
2020-06-10T00:00:00.000Z,15.219721329046099,4.89266295889465,2020-09-16T04:02:59.200Z
2020-06-11T00:00:00.000Z,4.55813953488371,15.55079942273253,2020-09-16T04:02:59.200Z
2020-06-12T00:00:00.000Z,5.160142348754437,13.77638177932729,2020-09-16T04:02:59.200Z
2020-06-13T00:00:00.000Z,6.0913705583756315,11.72232449053531,2020-09-16T04:02:59.200Z
