name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
שיבא,,103.1012649536133,6,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
סנט וינסנט,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
שמיר,,68.91133880615234,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
וולפסון,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
זיו צפת,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
הלל יפה,,93.78640747070312,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
נהריה,,77.80821990966797,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
ברזילי,,82.11920166015625,2,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
פוריה,,69.01408386230469,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
סוראסקי,,110.2476501464844,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
בני ציון,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
רבין ק. בילינסון,,93.05389404296875,4,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
סורוקה,,79.7567367553711,5,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
מאיר,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
קפלן,,99.2779769897461,4,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
"רמב""ם",,95.90164184570312,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
הכרמל,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
הדסה עין כרם,,112.4338607788086,7,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
הסקוטי,,28.5714282989502,1,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
המשפחה הקדושה,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
סנט ג'וזף,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
שערי צדק,,93.36609649658203,1,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
אל מקאסד,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
לניאדו,,84.12256622314453,6,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
אוגוסטה ויקטוריה,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
מעייני הישועה,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
אסותא אשדוד,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
השרון ק. גולדה,,78.00830078125,1,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
יוספטל,,,0,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
המרכזי בעמק,,76.72413635253906,3,2021-04-12T06:26:38.847Z,2021-04-12T06:26:38.847Z
