total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3047,1737,337,248,694,391,2021-02-03T21:05:49.047Z
100,57,19,14,40,23,2021-02-03T21:05:49.047Z
