section,male,female,lastUpdate,date
0,43793,41287,2021-02-03T21:05:49.047Z,2021-02-03T21:05:49.047Z
10,75175,65183,2021-02-03T21:05:49.047Z,2021-02-03T21:05:49.047Z
20,62615,63157,2021-02-03T21:05:49.047Z,2021-02-03T21:05:49.047Z
30,44905,47225,2021-02-03T21:05:49.047Z,2021-02-03T21:05:49.047Z
40,38619,42493,2021-02-03T21:05:49.047Z,2021-02-03T21:05:49.047Z
50,29545,31391,2021-02-03T21:05:49.047Z,2021-02-03T21:05:49.047Z
60,20867,19799,2021-02-03T21:05:49.047Z,2021-02-03T21:05:49.047Z
70,10355,10127,2021-02-03T21:05:49.047Z,2021-02-03T21:05:49.047Z
80,4559,6136,2021-02-03T21:05:49.047Z,2021-02-03T21:05:49.047Z
90,1210,2574,2021-02-03T21:05:49.047Z,2021-02-03T21:05:49.047Z
