section,male,female,lastUpdate,date
0,17192,16457,2020-11-07T14:58:45.037Z,2020-11-07T14:58:45.037Z
10,38948,27826,2020-11-07T14:58:45.037Z,2020-11-07T14:58:45.037Z
20,33127,30029,2020-11-07T14:58:45.037Z,2020-11-07T14:58:45.037Z
30,22057,21744,2020-11-07T14:58:45.037Z,2020-11-07T14:58:45.037Z
40,19251,20306,2020-11-07T14:58:45.037Z,2020-11-07T14:58:45.037Z
50,14960,15463,2020-11-07T14:58:45.037Z,2020-11-07T14:58:45.037Z
60,10884,9617,2020-11-07T14:58:45.037Z,2020-11-07T14:58:45.037Z
70,5328,4873,2020-11-07T14:58:45.037Z,2020-11-07T14:58:45.037Z
80,2317,2890,2020-11-07T14:58:45.037Z,2020-11-07T14:58:45.037Z
90,551,1260,2020-11-07T14:58:45.037Z,2020-11-07T14:58:45.037Z
