total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2892,567,96,69,171,214,2021-04-01T05:29:11.760Z
100,20,17,12,30,38,2021-04-01T05:29:11.760Z
