section,male,female,lastUpdate,date
0,0,0,2021-02-27T16:24:35.060Z,2021-02-27T16:24:35.060Z
10,0,2,2021-02-27T16:24:35.060Z,2021-02-27T16:24:35.060Z
20,4,4,2021-02-27T16:24:35.060Z,2021-02-27T16:24:35.060Z
30,10,11,2021-02-27T16:24:35.060Z,2021-02-27T16:24:35.060Z
40,23,10,2021-02-27T16:24:35.060Z,2021-02-27T16:24:35.060Z
50,36,18,2021-02-27T16:24:35.060Z,2021-02-27T16:24:35.060Z
60,30,20,2021-02-27T16:24:35.060Z,2021-02-27T16:24:35.060Z
70,32,14,2021-02-27T16:24:35.060Z,2021-02-27T16:24:35.060Z
80,6,11,2021-02-27T16:24:35.060Z,2021-02-27T16:24:35.060Z
90,2,2,2021-02-27T16:24:35.060Z,2021-02-27T16:24:35.060Z
