section,male,female,lastUpdate,date
0,1,2,2020-12-27T18:46:41.847Z,2020-12-27T18:46:41.847Z
10,1,2,2020-12-27T18:46:41.847Z,2020-12-27T18:46:41.847Z
20,3,6,2020-12-27T18:46:41.847Z,2020-12-27T18:46:41.847Z
30,12,8,2020-12-27T18:46:41.847Z,2020-12-27T18:46:41.847Z
40,22,15,2020-12-27T18:46:41.847Z,2020-12-27T18:46:41.847Z
50,111,60,2020-12-27T18:46:41.847Z,2020-12-27T18:46:41.847Z
60,308,125,2020-12-27T18:46:41.847Z,2020-12-27T18:46:41.847Z
70,542,263,2020-12-27T18:46:41.847Z,2020-12-27T18:46:41.847Z
80,591,502,2020-12-27T18:46:41.847Z,2020-12-27T18:46:41.847Z
90,265,387,2020-12-27T18:46:41.847Z,2020-12-27T18:46:41.847Z
