section,male,female,lastUpdate,date
0,2,1,2021-01-17T19:30:01.320Z,2021-01-17T19:30:01.320Z
10,2,2,2021-01-17T19:30:01.320Z,2021-01-17T19:30:01.320Z
20,6,9,2021-01-17T19:30:01.320Z,2021-01-17T19:30:01.320Z
30,14,8,2021-01-17T19:30:01.320Z,2021-01-17T19:30:01.320Z
40,27,25,2021-01-17T19:30:01.320Z,2021-01-17T19:30:01.320Z
50,138,64,2021-01-17T19:30:01.320Z,2021-01-17T19:30:01.320Z
60,373,156,2021-01-17T19:30:01.320Z,2021-01-17T19:30:01.320Z
70,664,326,2021-01-17T19:30:01.320Z,2021-01-17T19:30:01.320Z
80,744,627,2021-01-17T19:30:01.320Z,2021-01-17T19:30:01.320Z
90,345,471,2021-01-17T19:30:01.320Z,2021-01-17T19:30:01.320Z
