section,male,female,lastUpdate,date
0,15604,14953,2020-10-12T03:16:32.807Z,2020-10-12T03:16:32.807Z
10,36499,25486,2020-10-12T03:16:32.807Z,2020-10-12T03:16:32.807Z
20,30439,27370,2020-10-12T03:16:32.807Z,2020-10-12T03:16:32.807Z
30,20330,19825,2020-10-12T03:16:32.807Z,2020-10-12T03:16:32.807Z
40,17723,18590,2020-10-12T03:16:32.807Z,2020-10-12T03:16:32.807Z
50,13712,14018,2020-10-12T03:16:32.807Z,2020-10-12T03:16:32.807Z
60,9905,8701,2020-10-12T03:16:32.807Z,2020-10-12T03:16:32.807Z
70,4805,4339,2020-10-12T03:16:32.807Z,2020-10-12T03:16:32.807Z
80,2049,2521,2020-10-12T03:16:32.807Z,2020-10-12T03:16:32.807Z
90,477,1097,2020-10-12T03:16:32.807Z,2020-10-12T03:16:32.807Z
