section,male,female,lastUpdate,date
0,11364,10937,2020-09-25T13:23:59.210Z,2020-09-25T13:23:59.210Z
10,26923,18472,2020-09-25T13:23:59.210Z,2020-09-25T13:23:59.210Z
20,22174,20782,2020-09-25T13:23:59.210Z,2020-09-25T13:23:59.210Z
30,14695,15030,2020-09-25T13:23:59.210Z,2020-09-25T13:23:59.210Z
40,13073,14186,2020-09-25T13:23:59.210Z,2020-09-25T13:23:59.210Z
50,10134,10666,2020-09-25T13:23:59.210Z,2020-09-25T13:23:59.210Z
60,6986,6420,2020-09-25T13:23:59.210Z,2020-09-25T13:23:59.210Z
70,3329,3079,2020-09-25T13:23:59.210Z,2020-09-25T13:23:59.210Z
80,1407,1834,2020-09-25T13:23:59.210Z,2020-09-25T13:23:59.210Z
90,327,781,2020-09-25T13:23:59.210Z,2020-09-25T13:23:59.210Z
