section,male,female,lastUpdate,date
0,8249,7958,2020-09-14T04:11:56.110Z,2020-09-14T04:11:56.110Z
10,18935,13179,2020-09-14T04:11:56.110Z,2020-09-14T04:11:56.110Z
20,16129,15444,2020-09-14T04:11:56.110Z,2020-09-14T04:11:56.110Z
30,10662,10835,2020-09-14T04:11:56.110Z,2020-09-14T04:11:56.110Z
40,9330,10214,2020-09-14T04:11:56.110Z,2020-09-14T04:11:56.110Z
50,7345,7785,2020-09-14T04:11:56.110Z,2020-09-14T04:11:56.110Z
60,5117,4781,2020-09-14T04:11:56.110Z,2020-09-14T04:11:56.110Z
70,2544,2382,2020-09-14T04:11:56.110Z,2020-09-14T04:11:56.110Z
80,1077,1451,2020-09-14T04:11:56.110Z,2020-09-14T04:11:56.110Z
90,260,628,2020-09-14T04:11:56.110Z,2020-09-14T04:11:56.110Z
