section,male,female,lastUpdate,date
0,1,0,2020-11-05T08:49:08.653Z,2020-11-05T08:49:08.653Z
10,1,1,2020-11-05T08:49:08.653Z,2020-11-05T08:49:08.653Z
20,0,2,2020-11-05T08:49:08.653Z,2020-11-05T08:49:08.653Z
30,3,1,2020-11-05T08:49:08.653Z,2020-11-05T08:49:08.653Z
40,19,10,2020-11-05T08:49:08.653Z,2020-11-05T08:49:08.653Z
50,40,20,2020-11-05T08:49:08.653Z,2020-11-05T08:49:08.653Z
60,68,29,2020-11-05T08:49:08.653Z,2020-11-05T08:49:08.653Z
70,53,41,2020-11-05T08:49:08.653Z,2020-11-05T08:49:08.653Z
80,21,23,2020-11-05T08:49:08.653Z,2020-11-05T08:49:08.653Z
90,6,14,2020-11-05T08:49:08.653Z,2020-11-05T08:49:08.653Z
