name,amount,lastUpdate,date
hard,483,2021-03-24T15:57:13.500Z,2021-03-24T15:57:13.500Z
moderate,108,2021-03-24T15:57:13.500Z,2021-03-24T15:57:13.500Z
critical,240,2021-03-24T15:57:13.500Z,2021-03-24T15:57:13.500Z
breath,218,2021-03-24T15:57:13.500Z,2021-03-24T15:57:13.500Z
name,amount,lastUpdate,date
hard,483,2021-03-24T15:57:13.500Z,2021-03-24T15:57:13.500Z
moderate,108,2021-03-24T15:57:13.500Z,2021-03-24T15:57:13.500Z
critical,240,2021-03-24T15:57:13.500Z,2021-03-24T15:57:13.500Z
breath,218,2021-03-24T15:57:13.500Z,2021-03-24T15:57:13.500Z
