section,male,female,lastUpdate,date
0,0,0,2020-10-29T04:45:36.930Z,2020-10-29T04:45:36.930Z
10,0,0,2020-10-29T04:45:36.930Z,2020-10-29T04:45:36.930Z
20,0,1,2020-10-29T04:45:36.930Z,2020-10-29T04:45:36.930Z
30,1,0,2020-10-29T04:45:36.930Z,2020-10-29T04:45:36.930Z
40,8,0,2020-10-29T04:45:36.930Z,2020-10-29T04:45:36.930Z
50,22,12,2020-10-29T04:45:36.930Z,2020-10-29T04:45:36.930Z
60,48,17,2020-10-29T04:45:36.930Z,2020-10-29T04:45:36.930Z
70,34,24,2020-10-29T04:45:36.930Z,2020-10-29T04:45:36.930Z
80,13,13,2020-10-29T04:45:36.930Z,2020-10-29T04:45:36.930Z
90,2,3,2020-10-29T04:45:36.930Z,2020-10-29T04:45:36.930Z
