amount,lastUpdate
374,2020-12-01T20:00:40.077Z
392,2020-12-01T20:00:40.077Z
397,2020-12-01T20:00:40.077Z
383,2020-12-01T20:00:40.077Z
395,2020-12-01T20:00:40.077Z
401,2020-12-01T20:00:40.077Z
403,2020-12-01T20:00:40.077Z
406,2020-12-01T20:00:40.077Z
425,2020-12-01T20:00:40.077Z
427,2020-12-01T20:00:40.077Z
418,2020-12-01T20:00:40.077Z
422,2020-12-01T20:00:40.077Z
417,2020-12-01T20:00:40.077Z
439,2020-12-01T20:00:40.077Z
453,2020-12-01T20:00:40.077Z
434,2020-12-01T20:00:40.077Z
416,2020-12-01T20:00:40.077Z
413,2020-12-01T20:00:40.077Z
401,2020-12-01T20:00:40.077Z
416,2020-12-01T20:00:40.077Z
438,2020-12-01T20:00:40.077Z
455,2020-12-01T20:00:40.077Z
457,2020-12-01T20:00:40.077Z
460,2020-12-01T20:00:40.077Z
484,2020-12-01T20:00:40.077Z
491,2020-12-01T20:00:40.077Z
489,2020-12-01T20:00:40.077Z
514,2020-12-01T20:00:40.077Z
517,2020-12-01T20:00:40.077Z
523,2020-12-01T20:00:40.077Z
513,2020-12-01T20:00:40.077Z
530,2020-12-01T20:00:40.077Z
565,2020-12-01T20:00:40.077Z
587,2020-12-01T20:00:40.077Z
610,2020-12-01T20:00:40.077Z
628,2020-12-01T20:00:40.077Z
652,2020-12-01T20:00:40.077Z
633,2020-12-01T20:00:40.077Z
667,2020-12-01T20:00:40.077Z
662,2020-12-01T20:00:40.077Z
708,2020-12-01T20:00:40.077Z
720,2020-12-01T20:00:40.077Z
734,2020-12-01T20:00:40.077Z
760,2020-12-01T20:00:40.077Z
797,2020-12-01T20:00:40.077Z
820,2020-12-01T20:00:40.077Z
813,2020-12-01T20:00:40.077Z
847,2020-12-01T20:00:40.077Z
843,2020-12-01T20:00:40.077Z
897,2020-12-01T20:00:40.077Z
870,2020-12-01T20:00:40.077Z
853,2020-12-01T20:00:40.077Z
848,2020-12-01T20:00:40.077Z
839,2020-12-01T20:00:40.077Z
832,2020-12-01T20:00:40.077Z
812,2020-12-01T20:00:40.077Z
810,2020-12-01T20:00:40.077Z
801,2020-12-01T20:00:40.077Z
765,2020-12-01T20:00:40.077Z
725,2020-12-01T20:00:40.077Z
700,2020-12-01T20:00:40.077Z
657,2020-12-01T20:00:40.077Z
647,2020-12-01T20:00:40.077Z
662,2020-12-01T20:00:40.077Z
646,2020-12-01T20:00:40.077Z
627,2020-12-01T20:00:40.077Z
606,2020-12-01T20:00:40.077Z
589,2020-12-01T20:00:40.077Z
562,2020-12-01T20:00:40.077Z
540,2020-12-01T20:00:40.077Z
510,2020-12-01T20:00:40.077Z
494,2020-12-01T20:00:40.077Z
476,2020-12-01T20:00:40.077Z
464,2020-12-01T20:00:40.077Z
447,2020-12-01T20:00:40.077Z
432,2020-12-01T20:00:40.077Z
413,2020-12-01T20:00:40.077Z
401,2020-12-01T20:00:40.077Z
403,2020-12-01T20:00:40.077Z
383,2020-12-01T20:00:40.077Z
356,2020-12-01T20:00:40.077Z
336,2020-12-01T20:00:40.077Z
322,2020-12-01T20:00:40.077Z
329,2020-12-01T20:00:40.077Z
340,2020-12-01T20:00:40.077Z
334,2020-12-01T20:00:40.077Z
310,2020-12-01T20:00:40.077Z
311,2020-12-01T20:00:40.077Z
305,2020-12-01T20:00:40.077Z
293,2020-12-01T20:00:40.077Z
293,2020-12-01T20:00:40.077Z
309,2020-12-01T20:00:40.077Z
321,2020-12-01T20:00:40.077Z
322,2020-12-01T20:00:40.077Z
318,2020-12-01T20:00:40.077Z
323,2020-12-01T20:00:40.077Z
319,2020-12-01T20:00:40.077Z
312,2020-12-01T20:00:40.077Z
310,2020-12-01T20:00:40.077Z
290,2020-12-01T20:00:40.077Z
284,2020-12-01T20:00:40.077Z
294,2020-12-01T20:00:40.077Z
283,2020-12-01T20:00:40.077Z
282,2020-12-01T20:00:40.077Z
267,2020-12-01T20:00:40.077Z
278,2020-12-01T20:00:40.077Z
274,2020-12-01T20:00:40.077Z
264,2020-12-01T20:00:40.077Z
