section,male,female,lastUpdate,date
0,0,0,2020-10-19T19:11:45.207Z,2020-10-19T19:11:45.207Z
10,1,0,2020-10-19T19:11:45.207Z,2020-10-19T19:11:45.207Z
20,1,1,2020-10-19T19:11:45.207Z,2020-10-19T19:11:45.207Z
30,2,1,2020-10-19T19:11:45.207Z,2020-10-19T19:11:45.207Z
40,11,1,2020-10-19T19:11:45.207Z,2020-10-19T19:11:45.207Z
50,34,10,2020-10-19T19:11:45.207Z,2020-10-19T19:11:45.207Z
60,58,15,2020-10-19T19:11:45.207Z,2020-10-19T19:11:45.207Z
70,51,21,2020-10-19T19:11:45.207Z,2020-10-19T19:11:45.207Z
80,14,10,2020-10-19T19:11:45.207Z,2020-10-19T19:11:45.207Z
90,1,5,2020-10-19T19:11:45.207Z,2020-10-19T19:11:45.207Z
