age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,108919,14727,1505185,7.2,1.0,2021-01-31T08:26:49.547Z
20-29,282764,93546,1277634,22.1,7.3,2021-01-31T08:26:49.547Z
30-39,331067,127513,1186386,27.9,10.7,2021-01-31T08:26:49.547Z
40-49,541509,203524,1080768,50.1,18.8,2021-01-31T08:26:49.547Z
50-59,529628,268961,832687,63.6,32.3,2021-01-31T08:26:49.547Z
60-69,551367,450369,735380,75.0,61.2,2021-01-31T08:26:49.547Z
70-79,424969,369180,462148,92.0,79.9,2021-01-31T08:26:49.547Z
80-89,189134,161963,222547,85.0,72.8,2021-01-31T08:26:49.547Z
90+,44337,37653,50589,87.6,74.4,2021-01-31T08:26:49.547Z
