section,male,female,lastUpdate,date
0,0,1,2020-11-22T21:03:25.230Z,2020-11-22T21:03:25.230Z
10,1,1,2020-11-22T21:03:25.230Z,2020-11-22T21:03:25.230Z
20,1,0,2020-11-22T21:03:25.230Z,2020-11-22T21:03:25.230Z
30,2,2,2020-11-22T21:03:25.230Z,2020-11-22T21:03:25.230Z
40,12,3,2020-11-22T21:03:25.230Z,2020-11-22T21:03:25.230Z
50,32,15,2020-11-22T21:03:25.230Z,2020-11-22T21:03:25.230Z
60,59,25,2020-11-22T21:03:25.230Z,2020-11-22T21:03:25.230Z
70,53,31,2020-11-22T21:03:25.230Z,2020-11-22T21:03:25.230Z
80,20,20,2020-11-22T21:03:25.230Z,2020-11-22T21:03:25.230Z
90,7,5,2020-11-22T21:03:25.230Z,2020-11-22T21:03:25.230Z
