age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,311641,242365,1538337,20.3,15.8,2021-03-19T13:42:53.387Z
20-29,920982,735079,1300361,70.8,56.5,2021-03-19T13:42:53.387Z
30-39,908148,761026,1197026,75.9,63.6,2021-03-19T13:42:53.387Z
40-49,891240,786670,1098556,81.1,71.6,2021-03-19T13:42:53.387Z
50-59,732714,662933,849966,86.2,78.0,2021-03-19T13:42:53.387Z
60-69,652895,610529,741639,88.0,82.3,2021-03-19T13:42:53.387Z
70-79,474760,452831,490784,96.7,92.3,2021-03-19T13:42:53.387Z
80-89,212020,200892,225538,94.0,89.1,2021-03-19T13:42:53.387Z
90+,49717,46393,51496,96.5,90.1,2021-03-19T13:42:53.387Z
